id,pool_size,source,stock,basis,psych_type,outcome,text
DM-002442,268,토론방 본문,한미반도체,,,,씰떼엄는 글 쓸시간에~~ 매수 타점 잡으세요~~^^♡♡♡♡♡
DM-001721,268,토론방 본문,NAVER,,,,아빠 아빠도 반도체 26년에 샀다하지 않았어요? 근데 우리는 왜 집 없어요? 친구 아빠들은 그때 수익내서 집샀다던데 아들아 아빠는 네이버에 쳐 물려있다가 반도체로 갈아탔는데 아직도 물려있단다 예잇~ 이놈아!!
DM-002295,268,토론방 댓글,알테오젠,,,,"그리고 십 무상증자가 뭔지 모르는 애들 위해서 쓴다.   ??? : 어차피 무증 이후 가격 형성이 30% 떨어지는데, 이득은 아니지 않나요?  입을 확 ㅋㅋ  무증은 아무회사나 못한다. 회사 장부(이익잉여금 등)에 공짜 주식을 발행해 줄 만큼 현금성 자산이 엄청나게 많이 쌓여 있다는 것을 시장에 증명하는거다. 회사에서 ""나 돈 많아요!"" 하는거임   그리고 착시 효과도 있다. 어 이거 얼마전까지 40만원 하던 주식인데 왜 25만원임? ㅋㅋ 바닥에서 산다 하는 애들이 많아짐."
DM-001698,268,토론방 본문,NAVER,,,,주포 형님 감사합니다. 민수야~~~ 우리 민수 하이닉스 안 사고 네이버 30만원 고점에 샀어도 크게 손해 안 봤을텐대 민수야 남은 30% 네이버 사 ​ 저가 대비 4배 이상 급등=개잡주 작전주=하이닉스 ​ 삼전닉스는 설거지중.  상한가=개미 꼬시기 ​ 주포형님  오늘 충분합니다. ​ 사실 하루 500원만 올라도 감사합니다.
DM-001540,268,토론방 본문,카카오,,,,쓰레기가 따로없네 단타꾼이 너무 많다 어떠한 호재가 있어도 오르지못함 외인도 이제 매수안함
DM-001487,268,토론방 댓글,현대차,,,,저는 그나마 물타서 평단65인데 과감히 털고 반도체에 박아두는게 나을까요?😢
DM-000526,268,토론방 제목,NAVER,,,,아빠 아빠도 반도체 26년에 샀다하지 않았어요? 근데 우리는 왜 집 없어요? 친구 아빠들은 그때 수익내서 집샀다던데
DM-004109,268,유튜브 댓글,슈카월드,,,,​ @dndhdu12 뒤늦게 들어온사람이 잘못인거임 트럼프 당선당시 테슬라400불일때 삼전닉스 샀으면 m7주식 산것보다 10배이상 돈 다 벌었음
DM-001523,268,토론방 본문,카카오,,,,누가 샀는지 찾아바.... 새인 뒤통수치기 명이이 샀잔아...힌트준다 . 김종필 ㅋㅋㅋㅋ
DM-003798,268,유튜브 댓글,삼프로TV,,,,"음모론: 맞는듯. 이번국장이 개인이 이끌어서 주식이 올랐고 외국인 리벨런싱(사실 최고치 익절 , 좋던 싫던) 익절 , 레버리지로 한국주식 자폭, 그와중에 외국인들 큰손은 레버활용 두번째 이득. 결국 구조적으로 단타가 아니면 믿고 기다린 사람은 갑자기 당하게 되어있는 구조. 방향성이 좋아서 믿고 기다리는 게 맞을 수도 있지만. 중간에 계속 가만히 있으면 당한다.  떨어지면 대응하라는 말...본인들거 다 챙기고 해준듯. 본인들만 아는 건 안가르쳐 주는 듯. 내가 모른탓,  결론은 내가 멍청한 탓, 내가 쉽게 생각한탓, 내가 남의 말을 믿은 탓,"
